group	artifact	version (default 1.0-SNAPSHOT)	classifier (default: none)	file
org.jibx	xsd2jibx	0.2a-beta		xsd2jibx.jar
edu.northwestern.bioinformatics	core-commons	77		core-commons.jar
edu.northwestern.bioinformatics	core-commons-testing	77		core-commons-testing.jar
gov.nih.nci.security	csmapi	3.2.1-SNAPSHOT		csmapi-3.2.1-SNAPSHOT.jar
gov.nih.nci.security	csmapi	3.2.1-ctms00		csmapi-3.2.1-ctms00.jar
gov.nih.nci.security	csmapi	3.2	sources	csmapi-3.2-sources.jar
gov.nih.nci.security	csmapi	3.2		csmapi-3.2.jar
gov.nih.nci.security	clm	3.2.1-SNAPSHOT		clm-3.2.1-SNAPSHOT.jar
gov.nih.nci.security	clm	3.2.1-ctms00		clm-3.2.1-ctms00.jar
org.globus	axis	4.0.3-globus		axis-1.2.jar
org.globus	bootstrap	4.0.3-globus		bootstrap.jar
org.globus	cog-axis	4.0.3-globus		cog-axis.jar
org.globus	cog-jglobus	1.2		cog-jglobus.jar
org.globus	cog-tomcat	4.0.3-globus		cog-tomcat.jar
org.globus	cog-url	1.2		cog-url.jar
org.globus	commonj	4.0.3-globus		commonj.jar
org.globus	jaxrpc	4.0.3-globus		jaxrpc.jar
org.globus	jgss	1.2		jgss.jar
org.globus	puretls	4.0.3-globus		puretls.jar
org.globus	saaj	4.0.3-globus		saaj.jar
axis-unofficial	addressing	1.0-cagrid1.0		addressing-1.0.jar
org.globus	wsrf-core	4.0-cagrid1.0		wsrf_core.jar
org.globus	wsrf-core-stubs	4.0-cagrid1.0		wsrf_core_stubs.jar
org.globus	wss4j	4.0-cagrid1.0		wss4j.jar
bouncycastle	bouncycastle-jce-jdk13	125-cagrid1.0		jce-jdk13-125.jar
cryptix	cryptix	3.2-cagrid1.0		cryptix.jar
cryptix	cryptix-impl	3.2-cagrid1.0		cryptix32.jar
cryptix	cryptix-asn1	3.2-cagrid1.0		cryptix-asn1.jar
gov.nih.nci.cagrid	cagrid-authentication-service-client	1.0		caGrid-1.0-authentication-service-client.jar
gov.nih.nci.cagrid	cagrid-authentication-service-common	1.0		caGrid-1.0-authentication-service-common.jar
gov.nih.nci.cagrid	cagrid-authentication-service-stubs	1.0		caGrid-1.0-authentication-service-stubs.jar
gov.nih.nci.cagrid	cagrid-dorian-client	1.0		caGrid-1.0-dorian-client.jar
gov.nih.nci.cagrid	cagrid-dorian-common	1.0		caGrid-1.0-dorian-common.jar
gov.nih.nci.cagrid	cagrid-dorian-stubs	1.0		caGrid-1.0-dorian-stubs.jar
gov.nih.nci.cagrid	cagrid-opensaml	1.0		caGrid-1.0-opensaml-1.1.jar
gov.nih.nci.cagrid	cagrid-gridca	1.0		caGrid-1.0-gridca.jar
gov.nih.nci.logging	clm	3.2.0-cagrid1.0		clm.jar
gov.nih.nci.cagrid	cagrid-authz-common	1.0		caGrid-1.0-authz-common.jar
gov.nih.nci.cagrid	cagrid-core	1.0		caGrid-1.0-core.jar
gov.nih.nci.cagrid	cagrid-gridgrouper-client	1.0		caGrid-1.0-gridgrouper-client.jar
gov.nih.nci.cagrid	cagrid-gridgrouper-common	1.0		caGrid-1.0-gridgrouper-common.jar
gov.nih.nci.cagrid	cagrid-gridgrouper-stubs	1.0		caGrid-1.0-gridgrouper-stubs.jar
gov.nih.nci.cagrid	cagrid-metadata-common	1.0		caGrid-1.0-metadata-common.jar
gov.nih.nci.cagrid	cagrid-metadata-data	1.0		caGrid-1.0-metadata-data.jar
gov.nih.nci.cagrid	cagrid-metadata-security	1.0		caGrid-1.0-metadata-security.jar
gov.nih.nci.cagrid	cagrid-metadata-utils	1.0		caGrid-1.0-metadataUtils.jar
gov.nih.nci.cagrid	cagrid-ServiceSecurityProvider-client	1.0		caGrid-1.0-ServiceSecurityProvider-client.jar
gov.nih.nci.cagrid	cagrid-ServiceSecurityProvider-common	1.0		caGrid-1.0-ServiceSecurityProvider-common.jar
gov.nih.nci.cagrid	cagrid-ServiceSecurityProvider-service	1.0		caGrid-1.0-ServiceSecurityProvider-service.jar
gov.nih.nci.cagrid	cagrid-ServiceSecurityProvider-stubs	1.0		caGrid-1.0-ServiceSecurityProvider-stubs.jar
org.globus	globus-wsrf-mds-aggregator	4.0-cagrid1.0		globus_wsrf_mds_aggregator.jar
org.globus	globus-wsrf-mds-aggregator-stubs	4.0-cagrid1.0		globus_wsrf_mds_aggregator_stubs.jar
org.globus	globus-wsrf-servicegroup	4.0-cagrid1.0		globus_wsrf_servicegroup.jar
org.globus	globus-wsrf-servicegroup-stubs	4.0-cagrid1.0		globus_wsrf_servicegroup_stubs.jar
edu.internet2.middleware.grouper	grouper	1.0-cagrid1.0		grouper.jar
edu.internet2.middleware.subject	subject	0.2.1		subject-0.2.1.jar
org.projectmobius	mobius-tools	1.1		mobius_tools-1.1.jar
org.projectmobius	mobius-gme-client	1.1		mobius_gme_client-1.1.jar
org.projectmobius	mobius-common-client	1.1		mobius_common_client-1.1.jar
org.projectmobius	mobius-factories	1.1		mobius_factories-1.1.jar
org.projectmobius	mobius-mako-client	1.1		mobius_mako_client-1.1.jar
gov.nih.nci.cabig.caaers	caaers-rules-client	0.4.0		rules-client.jar
org.jvnet.jaxb2-commons	collection-setter-injector	1.0		collection-setter-injector.jar
org.drools	drools-repository	3.1.0		drools-repository.jar
javax.jcr	jcr	1.0		jcr-1.0.jar
org.drools	drools-jsr94	3.1.0		drools-jsr94.jar
org.drools	drools-decisiontables	3.1.0		drools-decisiontables.jar
org.drools	drools-compiler	3.1.0		drools-compiler.jar
org.drools	drools-core	3.1.0		drools-core.jar
gov.nih.nci.cabig.ctms	c3pr-registration-consumer-client	0.1		RegistrationConsumer-client.jar
gov.nih.nci.cabig.ctms	c3pr-registration-consumer-common	0.1		RegistrationConsumer-common.jar
gov.nih.nci.cabig.ctms	c3pr-registration-consumer-stubs	0.1		RegistrationConsumer-stubs.jar
gov.nih.nci.ccts.grid	StudyConsumer-client	0.1		StudyConsumer-client.jar
gov.nih.nci.ccts.grid	StudyConsumer-common	0.1		StudyConsumer-common.jar
gov.nih.nci.ccts.grid	StudyConsumer-stubs	0.1		StudyConsumer-stubs.jar
gov.nih.nci.caxchange	caXchangeRequestProcessor-common	1.0		CaXchangeRequestProcessor-common.jar
gov.nih.nci.caxchange	caXchangeRequestProcessor-stubs	1.0		CaXchangeRequestProcessor-stubs.jar
gov.nih.nci.caxchange	caXchangeRequestProcessor-client	1.0		CaXchangeRequestProcessor-client.jar
gov.nih.nci	c3pr-esb-client	1.0		c3pr-esb-client-1.0.jar
gov.nih.nci.cagrid	cagrid-cds-client	1.2		caGrid-1.2M1-cds-client.jar
gov.nih.nci.cagrid	cagrid-cds-common	1.2		caGrid-1.2M1-cds-common.jar
gov.nih.nci.cagrid	cagrid-cds-stubs	1.2		caGrid-1.2M1-cds-stubs.jar
gov.nih.nci.cagrid	cagrid-casclient	2.0.11		casclient-2.0.11.jar
gov.nih.nci.ccts.grid	RegistrationConsumer-client	0.1		RegistrationConsumer-client-0.1.jar
gov.nih.nci.ccts.grid	RegistrationConsumer-common	0.1		RegistrationConsumer-common-0.1.jar
gov.nih.nci.ccts.grid	RegistrationConsumer-stubs	0.1		RegistrationConsumer-stubs-0.1.jar